descricao,ISO,VERSAO,IDIOMA
Solar energy — Collector fields — Check of performance,ISO 24194,2022,en
Steels and irons — Determination of vanadium content — N-BPHA spectrophotometric method,ISO 4942,2016,en
Resilient floor coverings — Specification for floor panels/assembly for loose laying,ISO 20326,2016,en
Graphic technology — Prepress digital data exchange using PDF — Part 9: Complete exchange of printing data (PDF/X-6) and partial exchange of printing data with external profile reference (PDF/X-6p and PDF/X-6n) using PDF 2.0,ISO 15930-9,2020,en
Electronic fee collection — Evaluation of equipment for conformity to ISO/TS 17575-2 — Part 1: Test suite structure and test purposes,ISO/TR 16401-1,2018,en
Space data and information transfer systems — Spacecraft Onboard Interface Services — Subnetwork Memory Access Service,ISO 18426,2013,en
Materials and articles in contact with foodstuffs — Cutlery and table holloware — Part 9: Requirements for ceramic knives,ISO 8442-9,2018,en
Animal feeding stuffs — Determination of carbadox content — Method using high-performance liquid chromatography,ISO 14939,2001,en
Consumer vulnerability — Requirements and guidelines for the design and delivery of inclusive service,ISO 22458,2022,en
Industrial automation systems and integration — Process specification language — Part 44: Definitional extension: Resource extensions,ISO 18629-44,2006,en
Information technology — Coding of audio-visual objects — Part 12: ISO base media file format,ISO/IEC DIS 14496-12,,en
Paints and varnishes — Drying tests — Part 6: Print-free test,ISO 9117-6,2012,en
"Fine ceramics (advanced ceramics, advanced technical ceramics) — Determination of elastic modulus of ceramics at high temperature by thin wall C-ring method",ISO 21713,2020,en
Alpine ski-bindings — Requirements and test methods,ISO 9462,2023,en
Road vehicles — Ignition systems — Test methods and requirements for high voltage boots on plug-top coils and pencil coils,ISO 19813,2006,en
"Data quality — Part 115: Master data: Exchange of quality identifiers: Syntactic, semantic and resolution requirements",ISO 8000-115,2018,en
Agricultural tractors — Test procedures — Part 11: Steering capability of wheeled tractors,ISO 789-11,1996,en
Plastics — Determination of migration of plasticizers,ISO 177,2016,en
Leather — Chemical tests — Determination of pH and difference figure,ISO 4045,2018,en
Dimethyl ether (DME) for fuels — Determination of impurities — Gas chromatographic method,ISO 17196,2014,en
Pipes and fittings of acrylonitrile/butadiene/styrene (ABS) — General specification for moulding and extrusion materials,ISO 7245,1984,en
Equipment for distributing fertilizers — Test methods — Part 2: Fertilizer distributors in lines,ISO 5690-2,1984,en
Motorcycle tyres — Measurement of tyre rolling circumference — Loaded new tyres,ISO 13328,2000,en
Machine tools — Test conditions for bridge-type milling machines — Testing of the accuracy — Part 1: Fixed bridge (portal-type) machines,ISO 8636-1,2000,en
Control charts — Part 5: Specialized control charts,ISO 7870-5,2014,en
Plastics — Determination of dynamic mechanical properties — Part 10: Complex shear viscosity using a parallel-plate oscillatory rheometer,ISO 6721-10,2015,en
Biocompatibility evaluation of breathing gas pathways in healthcare applications — Part 2: Tests for emissions of particulate matter,ISO 18562-2,2017,en
Susceptibility testing of infectious agents and evaluation of performance of antimicrobial susceptibility test devices — Part 1: Broth micro-dilution reference method for testing the in vitro activity of antimicrobial agents against rapidly growing aerobic bacteria involved in infectious diseases,ISO 20776-1,2019,en
Rigid cellular plastics — Spray-applied polyurethane foam for thermal insulation — Part 2: Application,ISO 8873-2,2007,en
Leather — Wet blue sheep skins — Specification,ISO 5432,2022,en
Hygrothermal performance of buildings and building materials — Physical quantities for mass transfer — Vocabulary,ISO 9346,2007,en
Determination of monomeric diisocyanate content in coating materials and similar products using HPLC-UV,ISO/DIS 6923,,en
Aerospace series — Graphic symbols for schematic drawings of hydraulic and pneumatic systems and components,ISO 5859,2014,en
Plastics piping systems for hot and cold water installations — Polyethylene of raised temperature resistance (PE-RT) — Part 5: Fitness for purpose of the system,ISO 22391-5,2009,en
Water quality — Biological classification of rivers — Part 2: Guidance on the presentation of biological quality data from surveys of benthic macroinvertebrates,ISO 8689-2,2000,en
"Cinematography — Relative and absolute sound pressure levels for motion-picture multi-channel sound systems — Measurement methods and levels applicable to analog photographic film audio, digital photographic film audio and D-cinema audio",ISO 22234,2005,en
Industrial automation systems and integration — Industrial manufacturing management data: Resources usage management — Part 32: Conceptual model for resources usage management data,ISO 15531-32,2005,en
Textiles — Test method for assessing the matting appearance of napped fabrics after cleansing,ISO 16847,2016,en
Water quality — Gross alpha activity — Test method using thick source,ISO 9696,2017,en
Road vehicles — Test scenarios for automated driving systems — Scenario based safety evaluation framework,ISO 34502,2022,en
Financial services — Natural person identifier (NPI),ISO 24366,2021,en
Information technology — XML Metadata Interchange (XMI),ISO/IEC 19503,2005,en
Information technology — UPnP Device Architecture — Part 26-14: Telephony device control protocol — Level 2 — Address book service,ISO/IEC 29341-26-14,2017,en
Rubber compounding ingredients — Carbon black — Determination of high-temperature loss on heating by thermogravimetry,ISO 21870,2005,en
Refrigerated hydrocarbon and non-petroleum based liquefied gaseous fuels — Metering of gas as fuel on LNG carriers during cargo transfer operations,ISO 19970,2017,en
Cranes — Cabins and control stations — Part 3: Tower cranes,ISO 8566-3,2010,en
Magnesium alloys — Determination of zinc — Volumetric method,ISO 1783,1973,en
Road vehicles — Liquefied petroleum gas (LPG) fuel system components — Part 17: Gas dosage unit,ISO 20766-17,2022,en
Mechanical vibration — Measurement of vibration on ships — Part 3: Pre-installation vibration measurement of shipboard equipment,ISO 20283-3,2006,en
Uses of reaction to fire test results — Part 2: Fire hazard assessment of construction products,ISO/TR 11696-2,1999,en
Laminate floor coverings — Determination of impact resistance,ISO 24335,2022,en
Water quality — Sampling — Part 14: Guidance on quality assurance and quality control of environmental water sampling and handling,ISO 5667-14,2014,en
Medical laboratories — Requirements for safety,ISO 15190,2020,en
Industrial automation systems and integration — Product data representation and exchange — Part 104: Integrated application resource: Finite element analysis,ISO 10303-104,2000,en
Fans — Efficiency classification for fans — Part 4: Driven fans at maximum operating speed,ISO 12759-4,2019,en
Optics and photonics — Microlens arrays — Part 4: Test methods for geometrical properties,ISO/DIS 14880-4,,en
Hydrometry — Methods of measurement of bedload discharge,ISO/TR 9212,2015,en
Intelligent transport systems — Cooperative ITS — Part 2: Framework overview,ISO/TR 17427-2,2015,en
Radiological protection — Monitoring and internal dosimetry for specific materials — Part 1: Inhalation of uranium compounds,ISO 16638-1,2015,en
Optics and photonics — Optical coatings — Part 2: Optical properties,ISO 9211-2,2010,en
Lead sulfide concentrates — Determination of silver and gold contents — Fire assay and flame atomic absorption spectrometric method using scorification or cupellation,ISO 12740,1998,en
Plastics piping systems — Mechanical joints between fittings and pressure pipes — Test method for leaktightness under internal pressure of assemblies subjected to bending,ISO 3503,2015,en
Ergonomics of the thermal environment — Methods for the assessment of human responses to contact with surfaces — Part 3: Cold surfaces,ISO 13732-3,2005,en
Irrigation equipment — Automatic irrigation systems — Hydraulic control,ISO/TR 8059,1986,en
"Environmental management — Life cycle assessment — Principles, requirements and guidelines for normalization, weighting and interpretation",ISO/TS 14074,2022,en
"Information technology — Programming languages, their environment and system software interfaces — Native COBOL Syntax for XML Support",ISO/IEC TR 24716,2007,en
Infusion equipment for medical use — Part 6: Freeze drying closures for infusion bottles,ISO 8536-6,2016,en
Steel and iron — Determination of chromium content — Flame atomic absorption spectrometric method,ISO 10138,1991,en
Information technology — Multimedia application formats (MPEG-A) — Part 18: Media linking application format,ISO/IEC 23000-18,2018,en
Plastics — Temperature modulated DSC — Part 3: Separation of overlapping thermal transitions,ISO 19935-3,2021,en
Rigid cellular plastics — Determination of friability,ISO 6187,2001,en
Environmental performance evaluation — Green debt instruments — Part 2: Process for green loans,ISO 14030-2,2021,en
Machine tools — Safety — Turning machines,ISO 23125,2015,en
Cold-reduced carbon steel sheet according to hardness requirements,ISO 5954,2014,en
Plastics — Differential scanning calorimetry (DSC) — Part 1: General principles,ISO 11357-1,2023,en
Electrochemical impedance spectroscopy (EIS) on coated and uncoated metallic specimens — Part 4: Examples of spectra of polymer-coated and uncoated specimens,ISO 16773-4,2017,en
Road vehicles — Ignition coils — Low-tension cable connections,ISO 4024,1992,en
Plastics — Homopolymer and copolymer resins of vinyl chloride — Determination of residual vinyl chloride monomer by gas-chromatographic analysis of dry powder,ISO 24538,2008,en
Citrus fruits and derived products — Determination of essential oils content (Reference method),ISO 1955,1982,en
Petroleum and natural gas industries — Steel pipes for use as casing or tubing for wells,ISO 11960,2020,en
Environmental tests for aircraft equipment — Steady-state acceleration,ISO 2669,1995,en
"Tools for pressing — Guide bushes — Part 4: Form C, gliding bushes, headed, type 1",ISO 9448-4,2013,en
Rotary shaft lip-type seals incorporating thermoplastic sealing elements — Part 4: Performance test procedures,ISO 16589-4,2011,en
Plastics piping systems for renovation of underground water supply networks — Part 2: Lining with continuous pipes,ISO 11298-2,2018,en
Information technology — Extensible biometric data interchange formats — Part 9: Vascular image data,ISO/IEC 39794-9,2021,en
Paper and board — Determination of tensile properties — Part 2: Constant rate of elongation method (20 mm/min),ISO 1924-2,2008,en
Non-destructive testing of welds — Radiographic testing — Part 2: X- and gamma-ray techniques with digital detectors,ISO 17636-2,2022,en
Plain bearings — Multilayer materials for thin-walled plain bearings,ISO/DIS 4383,,en
Phosphoric acid for industrial use (including foodstuffs) — Determination of total phosphorus (V) oxide content — Quinoline phosphomolybdate gravimetric method,ISO 3706,1976,en
Stereomicroscopes — Information provided to the user,ISO 15362,2014,en
Ships and marine technology — Floating pneumatic rubber fenders — Part 2: Low pressure,ISO 17357-2,2014,en
Health informatics — Guidance on health information privacy education in healthcare organizations,ISO/TR 18638,2017,en
Information technology — SPDX® Specification V2.2.1,ISO/IEC 5962,2021,en
Electrode taper fits for spot welding equipment — Dimensions,ISO 1089,1980,en
Air quality — Environmental meteorology — Part 1: Ground-based remote sensing of visual range by lidar,ISO 28902-1,2012,en
Circular knitting machines — Vocabulary,ISO 12912,2014,en
Plastics — Determination of the degree of disintegration of plastic materials under composting conditions in a laboratory-scale test,ISO/DIS 20200,,en
Pyrotechnic articles — Pyrotechnic articles for vehicles — Part 4: Requirements and categorization for micro gas generators,ISO 14451-4,2013,en
Hygrothermal performance of building equipment and industrial installations — Calculation of water vapour diffusion — Cold pipe insulation systems,ISO 15758,2014,en
Indoor air — Part 8: Determination of local mean ages of air in buildings for characterizing ventilation conditions,ISO 16000-8,2007,en
"Intelligent transport systems — Traffic and travel information via transport protocol experts group, generation 1 (TPEG1) binary data format — Part 1: Introduction, numbering and versions (TPEG1-INV)",ISO/TS 18234-1,2013,en
Hot-rolled steel sheet in coils of structural quality and heavy thickness,ISO 13976,2016,en
Non-destructive testing of welds — Penetrant testing — Acceptance levels,ISO 23277,2015,en
Geotechnical investigation and testing — Geohydraulic testing — Part 3: Water pressure tests in rock,ISO 22282-3,2012,en
Information technology — Computer graphics and image processing — Image Processing and Interchange (IPI) — Functional specification — Part 3: Image Interchange Facility (IIF),ISO/IEC 12087-3,1995,en
General principles on reliability for structures — Vocabulary,ISO 8930,2021,en
"Energy performance of buildings — Energy needs for heating and cooling, internal temperatures and sensible and latent heat loads — Part 2: Explanation and justification of ISO 52016-1 and ISO 52017-1",ISO/TR 52016-2,2017,en
Agricultural irrigation equipment — Pressure losses in irrigation valves — Test method,ISO 9644,2018,en
Road vehicles — (EMC) guidelines for installation of aftermarket radio frequency transmitting equipment,ISO/TS 21609,2014,en
Time-measuring instruments — Photoluminescent deposits — Test methods and requirements,ISO/DIS 17514,,en
PVC-coated fabrics for tarpaulins — Specification,ISO 8095,1990,en
"Dried milk, dried ice-mixes and processed cheese — Determination of lactose content — Part 1: Enzymatic method utilizing the glucose moiety of the lactose",ISO 5765-1,2002,en
Road vehicles — Component test methods for electrical disturbances from narrowband radiated electromagnetic energy — Part 5: Stripline,ISO 11452-5,2002,en
Information technology — UPnP Device Architecture — Part 31-1: Energy management device control protocol — Energy management service,ISO/IEC 29341-31-1,2017,en
Buildings and constructed assets — Service life planning — Part 11: Terminology,ISO/TR 15686-11,2014,en
Animal and vegetable fats and oils — Determination of polycyclic aromatic hydrocarbons by on-line donor-acceptor complex chromatography and HPLC with fluorescence detection,ISO 22959,2009,en
Information and documentation — Information retrieval (Z39.50) — Application service definition and protocol specification,ISO 23950,1998,en
Green coffee or raw coffee — Size analysis — Manual and machine sieving,ISO 4150,2011,en
Information technology — Telecommunications and information exchange between systems — Private Integrated Services Network — Inter-exchange signalling protocol — Recall supplementary service,ISO/IEC 15052,2003,en
Plastics — Polypropylene and propylene-copolymers — Determination of thermal oxidative stability in air — Oven method,ISO 4577,2019,en
Iron ores — Sampling and sample preparation procedures,ISO 3082,2017,en
Geosynthetics — Dynamic perforation test (cone drop test),ISO 13433,2006,en
Geometrical product specifications (GPS) — Acceptance and reverification tests for coordinate measuring systems (CMS) — Part 12: Articulated arm coordinate measurement machines (CMM),ISO 10360-12,2016,en
Respiratory protective devices — Performance requirements — Part 6: Special application escape - Filtering RPD and supplied breathable gas RPD,ISO 17420-6,2021,en
Surface active agents — Determination of interfacial tension — Drop volume method,ISO 9101,1987,en
Locked coil wire ropes for mine hoisting — Technical delivery requirements,ISO 5614,1988,en
Information technology — Security techniques — Modes of operation for an n-bit block cipher,ISO/IEC 10116,2017,en
Conveyor belts with textile carcass — Widths and lengths,ISO 251,2012,en
"Information processing systems — Open Systems Interconnection — File Transfer, Access and Management — Part 3: File Service Definition",ISO 8571-3,1988,en
"Fibre ropes — Polypropylene split film, monofilament and multifilament (PP2) and polypropylene high-tenacity multifilament (PP3) — 3-, 4-, 8- and 12-strand ropes",ISO 1346,2021,en
Geotechnical investigation and testing — Laboratory testing of soil — Part 6: Fall cone test,ISO 17892-6,2017,en
Information and documentation — International standard link identifier (ISLI),ISO 17316,2015,en
Water quality — Determination of the genotoxicity of water and waste water using the umu-test,ISO 13829,2000,en
Information and documentation — Library performance indicators,ISO 11620,2014,en
Plastics piping systems for hot and cold water installations — Crosslinked polyethylene (PE-X) — Part 3: Fittings,ISO 15875-3,2003,en
Micrographics — Graphical symbols for use in microfilming,ISO 9878,1990,en
Woodworking machines — Safety — Part 17: Edge banding machines fed by chains,ISO 19085-17,2021,en
Space environment (natural and artificial) — Process for determining solar irradiances,ISO 21348,2007,en
Dentistry — Analysis of fluoride concentration in aqueous solutions by use of fluoride ion-selective electrode,ISO 19448,2018,en
Space systems — Oxygen safety — Part 5: Operational and emergency procedures,ISO 22538-5,2010,en
Space systems — Risk management,ISO 17666,2016,en
Cornelian cherry — Specification and test methods,ISO 20984,2020,en
Solar energy — Calibration of pyranometers by comparison to a reference pyranometer,ISO 9847,2023,en
Photography — Digital cameras — Texture reproduction measurements — Part 1: Frequency characteristics measurements using cyclic pattern,ISO/TS 19567-1,2016,en
Information technology — Service management — Part 6: Requirements for bodies providing audit and certification of service management systems,ISO/IEC 20000-6,2017,en
Methods of test for full-flow lubricating oil filters for internal combustion engines — Part 7: Vibration fatigue test,ISO 4548-7,2012,en
Permeable sintered metal materials — Determination of bubble test pore size,ISO 4003,1977,en
Cranes — Information labels — Part 1: General,ISO 9942-1,2015,en
Hot-rolled steel sections — Part 1: Equal-leg angles — Dimensions,ISO 657-1,1989,en
"Information technology — Programming languages, their environments and system software interfaces — Technical Report on C++ Performance",ISO/IEC TR 18015,2006,en
Plastics piping systems — Polyethylene (PE) pipes for irrigation — Specifications,ISO 8779,2020,en
Information technology — Conformance testing methodology for biometric data interchange formats defined in ISO/IEC 19794 — Part 4: Finger image data,ISO/IEC 29109-4,2010,en
Anaesthetic and respiratory equipment — Heat and moisture exchangers (HMEs) for humidifying respired gases in humans — Part 2: HMEs for use with tracheostomized patients having minimum tidal volumes of 250 ml,ISO 9360-2,2001,en
Road vehicles — Test method to evaluate the performance of lane-keeping assistance systems,ISO 22735,2021,en
Multilayer piping systems for hot and cold water installations inside buildings — Part 1: General,ISO 21003-1,2008,en
Non-destructive testing of welds — General rules for metallic materials,ISO 17635,2016,en
Geometrical product specifications (GPS) — Surface texture: Areal — Part 71: Software measurement standards,ISO 25178-71,2017,en
"Soil, treated biowaste and sludge – Determination of pH",ISO 10390,2021,en
Plastics — Plasticized poly(vinyl chloride) (PVC-P) moulding and extrusion materials — Part 1: Designation system and basis for specifications,ISO 24023-1,2020,en
Graphic technology — Process control — Offset platemaking,ISO 12218,1997,en
Passenger cars — Power-off reaction of a vehicle in a turn — Open-loop test method,ISO 9816,2018,en
Road vehicles — Standardized access to automotive repair and maintenance information (RMI) — Part 6: L-Category vehicle specific RMI use cases and requirements,ISO 18541-6,2018,en
Cardiovascular implants and artificial organs — Blood-gas exchangers (oxygenators),ISO 7199,2016,en
Graphic technology — Method for radius determination of printing cylinders,ISO 15341,2014,en
"Superabrasive products — Rotating grinding tools with diamond or cubic boron nitride — General survey, designation and multilingual nomenclature",ISO 6104,2005,en
Ships and marine technology — Wire rope lifting platform for inspection,ISO/DIS 9557,,en
Information technology — Metadata registries (MDR) — Part 31: Metamodel for data specification registration,ISO/IEC 11179-31,2023,en
Road vehicles — Rear view mirrors — Test method for determining reflectance,ISO 5740,1982,en
Solid mineral fuels — Major and minor elements in coal ash and coke ash — Wavelength dispersive x-ray fluorescence spectrometric method,ISO 13605,2018,en
"Sterilization of health care products — Moist heat — Requirements for the development, validation and routine control of a sterilization process for medical devices",ISO/DIS 17665,,en
Information technology — Telecommunications and information exchange between systems — Private Integrated Services Network — Inter-exchange signalling protocol — Call Transfer supplementary service,ISO/IEC 13869,2003,en
Agricultural and forestry machines — Inspection of sprayers in use — Part 4: Fixed and semi-mobile sprayers,ISO 16122-4,2015,en
Continuous surface miners (CSM) — Safety requirements,ISO 19224,2017,en
Acoustics — Determination of sound immission from sound sources placed close to the ear — Part 1: Technique using a microphone in a real ear (MIRE technique),ISO 11904-1,2002,en
"Fine ceramics (advanced ceramics, advanced technical ceramics) — Methods for chemical analysis of impurities in aluminium oxide powders using inductively coupled plasma-optical emission spectrometry",ISO 3169,2023,en
"Steel flat products for pressure purposes — Technical delivery conditions — Part 3: Weldable fine grain steels, normalized",ISO 9328-3,2018,en
Surface chemical analysis — Characterization of nanostructured materials,ISO/TR 14187,2020,en
Information technology — Multimedia framework (MPEG-21) — Part 20: Contract Expression Language,ISO/IEC 21000-20,2016,en
Information technology — Telecommunications and information exchange between systems — NFC-SEC Test Methods,ISO/IEC 22425,2017,en
Methods for the petrographic analysis of coals — Part 1: Vocabulary,ISO 7404-1,2016,en
Lifts and escalators subject to seismic conditions — Compilation report,ISO/TR 25741,2008,en
Soil quality — Guidelines for the identification of target compounds by gas chromatography and mass spectrometry,ISO 22892,2006,en
Rubber hoses and hose assemblies for water suction and discharge — Specification,ISO 4641,2016,en
Paints and varnishes — Determination of resistance to cyclic corrosion conditions — Part 1: Wet (salt fog)/dry/humid,ISO 11997-1,2017,en
"Textiles — Qualitative and quantitative analysis of some cellulose fibres (lyocell, cupro) and their blends — Part 3: Blend quantification using spectral analysis method",ISO 21915-3,2020,en
Health informatics — Categorial structure for representation of herbal medicaments in terminological systems,ISO/TS 18062,2016,en
"Fennel seed, whole or ground (powdered) — Part 1: Bitter fennel seed (Foeniculum vulgare P. Miller var. vulgare) — Specification",ISO 7927-1,1987,en
ISO general purpose metric screw threads — General plan,ISO 261,1998,en
Soil quality — Sampling — Part 202: Preliminary investigations,ISO 18400-202,2018,en
Information technology — Coded representation of picture and audio information — Progressive bi-level image compression,ISO/IEC 11544,1993,en
Fibre-reinforced plastic composites — Determination of compressive properties in the in-plane direction,ISO 14126,1999,en
Code of inspection practice — Part 1: Measurement of cylindrical gear tooth flanks,ISO/TR 10064-1,2019,en
Cranes — Measurement of wheel alignment,ISO 11630,1997,en
Nanotechnologies — Guidance on voluntary labelling for consumer products containing manufactured nano-objects,ISO/TS 13830,2013,en
Identification cards — Thin flexible cards — Part 1: Physical characteristics,ISO/IEC 15457-1,2008,en
Preparation of steel substrates before application of paints and related products — Test methods for non-metallic blast-cleaning abrasives — Part 3: Determination of apparent density,ISO 11127-3,2020,en
Fasteners — Mechanical properties of corrosion-resistant stainless steel fasteners — Part 6: General rules for the selection of stainless steels and nickel alloys for fasteners,ISO 3506-6,2020,en
Information technology — Scalable compression and coding of continuous-tone still images — Part 1: Core coding system specification,ISO/IEC 18477-1,2020,en
Metallic coatings — Electroplated coatings of nickel plus chromium on plastics materials,ISO 4525,2003,en
Construction and layout of pedals of self-propelled sit-down rider-controlled industrial trucks — Rules for the construction and layout of pedals,ISO 21281,2005,en
Plastics — Phenolic powder moulding compounds (PF-PMCs) — Part 3: Requirements for selected moulding compounds,ISO 14526-3,1999,en
Forms design — Basic layout,ISO 8439,1990,en
Systems and software engineering — Guidelines for the utilization of ISO/IEC/IEEE 15288 in the context of system of systems (SoS),ISO/IEC/IEEE 21840,2019,en
Water quality — Sampling — Part 9: Guidance on sampling from marine waters,ISO 5667-9,1992,en
Earth-moving machinery — Guards — Definitions and requirements,ISO 3457,2003,en
Soil quality — Determination of mercury — Cold vapour atomic fluorescence spectrometry (CVAFS),ISO/TS 16727,2013,en
Remote handling devices for radioactive materials — Part 3: Electrical master-slave manipulators,ISO 17874-3,2011,en
"Cranes — Competency requirements for crane drivers (operators), slingers, signallers and assessors",ISO 15513,2000,en
Cutting tool data representation and exchange — Part 312: Creation and exchange of 3D models — Reamers for indexable inserts,ISO/TS 13399-312,2016,en
Resistance spot welding — Electrode holders — Part 1: Taper fixing 1:10,ISO 8430-1,2016,en
Meteorology — Ground-based remote sensing of wind — Radar wind profiler,ISO 23032,2022,en
Industrial valves — Pressure testing of metallic valves,ISO 5208,2015,en
Building environment design — Embedded radiant heating and cooling systems — Part 4: Dimensioning and calculation of the dynamic heating and cooling capacity of Thermo Active Building Systems (TABS),ISO 11855-4,2021,en
Wood-based panels — Determination of formaldehyde release — Part 2: Small-scale chamber method,ISO 12460-2,2018,en
Measurement of liquid flow in open channels — Parshall and SANIIRI flumes,ISO 9826,1992,en
"Rubber and plastics hoses and hose assemblies — Guidelines for selection, storage, use and maintenance",ISO 8331,2016,en
Rubber and plastics — Polymer dispersions and rubber latices — Determination of pH,ISO 976,2013,en
Air cargo — Restraint slings — Part 1: Design and testing,ISO 20291-1,2021,en
Water quality — Detection and enumeration of thermotolerant Campylobacter spp,ISO 17995,2019,en
Optics and optical instruments — Ancillary devices for geodetic instruments — Part 1: Invar levelling staffs,ISO 12858-1,2014,en
Gas cylinders — Refillable welded stainless steel cylinders — Part 2: Test pressure greater than 6 MPa,ISO 18172-2,2007,en
Information technology — MPEG video technologies — Part 3: Representation of auxiliary video and supplemental information,ISO/IEC 23002-3,2007,en
"Tapered polygonal interface with flat contact surface — Part 1: Shanks of type F, H, A",ISO/DIS 5686-1,,en
Road vehicles — Liquefied petroleum gas (LPG) fuel system components — Part 5: Fuel selection system and electrical installations,ISO/DIS 20766-5,,en
Safety of machinery — Evaluation of the emission of airborne hazardous substances — Part 1: Selection of test methods,ISO 29042-1,2008,en
Information technology — Automatic identification and data capture techniques — Optical Character Recognition (OCR) quality testing,ISO/IEC 30116,2016,en
Urine-absorbing aids for incontinence — Polyacrylate superabsorbent powders — Part 6: Test method for determination of the fluid retention capacity in saline solution by gravimetric measurement following centrifugation,ISO 17190-6,2020,en
Paints and varnishes — Determination of density — Part 3: Oscillation method,ISO 2811-3,2011,en
Aircraft — Tow bar attachment fittings interface requirements — Part 2: Regional aircraft,ISO 8267-2,2019,en
Ophthalmic optics — Specifications for single-vision ready-to-wear near- vision spectacles,ISO 16034,2002,en
"Geometrical product specifications (GPS) — Geometrical tolerancing — Tolerances of form, orientation, location and run-out",ISO 1101,2017,en
Rough-terrain trucks — Non-integrated personnel work platforms — Part 2: User requirements,ISO 18479-2,2016,en
Surface active agents — Washing powders — Determination of total silica content — Gravimetric method,ISO 8215,1985,en
Adhesives — Measurement of adhesion characteristics by a three-point bending method,ISO 14679,1997,en
Technical product documentation — Part references,ISO 6433,2012,en
Textiles — Fabrics — Determination of width and length,ISO 22198,2006,en
"Information technology — 90 mm optical disk cartridges, rewritable and read only, for data interchange",ISO/IEC 10090,1992,en
Structural steels — Part 1: General technical delivery conditions for hot-rolled products,ISO 630-1,2021,en
Metals and alloys — Atmospheric corrosion testing — General requirements,ISO 8565,2011,en
Optics and photonics — Environmental test methods — Part 11: Mould growth,ISO 9022-11,2015,en
Identification cards — Contactless integrated circuit(s) cards — Part 3: Electronic signals and reset procedures,ISO/IEC 10536-3,1996,en
"Industrial automation systems and integration — Product data representation and exchange — Part 28: Implementation methods: XML representations of EXPRESS schemas and data, using XML schemas",ISO 10303-28,2007,en
"Microbiology of food and animal feed — Real-time polymerase chain reaction (PCR)-based method for the detection of food-borne pathogens — Horizontal method for the detection of Shiga toxin-producing Escherichia coli (STEC) and the determination of O157, O111, O26, O103 and O145 serogroups",ISO/TS 13136,2012,en
Animal and vegetable fats and oils — Determination of water content — Karl Fischer method (pyridine free),ISO 8534,2017,en
In vitro diagnostic test systems — Nucleic acid amplification-based examination procedures for detection and identification of microbial pathogens — Laboratory quality practice guide,ISO 17822,2020,en
High-efficiency filters and filter media for removing particles in air — Part 3: Testing flat sheet filter media,ISO 29463-3,2011,en
Cranes — Training of drivers — Part 1: General,ISO 9926-1,1990,en
Mixed polyolefin fibre ropes,ISO 10572,2009,en
"Information technology — Learning, education, and training — Requirements for e-textbooks in education",ISO/IEC TR 18120,2016,en
Tea — Classification of grades by particle size analysis,ISO 11286,2004,en
